Model,hit_rate@10,precision@10,recall@10,ndcg@10,map@10,n_users_evaluated,catalog_coverage,coverage@10
NCF,0.3333333333333333,0.05112474437627812,0.05671930807702236,0.06791371721383065,0.02303970427007571,489,684,0.2125766871165644
Popularity,0.3292433537832311,0.05725971370143149,0.04859619908282399,0.06601737771879634,0.018675205487653522,489,74,0.022699386503067485
Item-CF,0.1656441717791411,0.019427402862985686,0.018955206891718687,0.024175213394012216,0.007095834288489906,489,1362,0.42024539877300615
SVD,0.19222903885480572,0.022699386503067485,0.017011225802547682,0.023352601219085216,0.00441974931526781,489,29,0.008895705521472393
User-CF,0.05930470347648262,0.006543967280163599,0.0063084170237826115,0.0077790836202470525,0.0017277769683982755,489,1330,0.4119631901840491
ALS,0.016359918200409,0.0016359918200408998,0.0025054926895417694,0.0026756855825984306,0.0007708095131408015,489,698,0.21687116564417178
